datum	wahl	ags	gebiet-nr	gebiet-name	max-schnellmeldungen	anz-schnellmeldungen	A1	A2	A3	A	B	B1	C	D	E	F	D1	F1	D2	F2	D3	F3	D4	F4	D5	F5	D6	F6	D7	F7	D8	F8	D9	F9	D10	F10	D11	F11	D12	F12	D13	F13	D14	F14	D15	F15	D16	F16	D17	F17	D18	F18	D19	F19	D20	F20	D21	F21	D22	F22	D23	F23	D24	F24	D25	F25	D26	F26	D27	F27
26.09.2021	Wahl zum Deutschen Bundestag	9679114		Stadt Aub	3	3	402	710	0	1112	965	689	9	956	6	959	523	403	120	137	0	70	77	100	97	110	19	15	75	79	7	6	0	7	0	5	0	6	0	0	0	0	0	1	0	1	0	0	0	0	28	8	0	0	0	0	0	2	0	0	0	0	0	2	0	7	0	0	10	0
26.09.2021	Wahl zum Deutschen Bundestag	9679117		Gemeinde Bergtheim	7	7	995	1971	0	2966	2544	1912	39	2505	16	2528	1118	936	360	437	0	180	249	248	377	348	58	62	231	179	19	18	0	24	0	6	0	15	0	7	0	3	0	1	0	6	0	0	0	0	60	28	0	4	0	1	0	3	0	1	6	0	0	9	0	3	0	9	27	0
26.09.2021	Wahl zum Deutschen Bundestag	9679118		Gemeinde Bieberehren	2	2	341	366	0	707	610	354	8	602	3	607	324	259	84	105	0	47	49	44	61	60	17	14	44	45	7	5	0	9	0	1	0	4	0	2	0	1	0	0	0	0	0	0	0	0	10	7	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0
26.09.2021	Wahl zum Deutschen Bundestag	9679122		Markt Bütthard	2	2	331	719	0	1050	897	677	16	881	4	893	502	396	101	113	0	73	79	88	82	93	19	26	48	61	14	6	0	12	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	22	7	0	2	0	2	0	0	0	0	3	4	0	1	0	0	0	3	11	0
26.09.2021	Wahl zum Deutschen Bundestag	9679124		Stadt Eibelstadt	4	4	827	1703	0	2530	2206	1637	27	2179	9	2197	878	743	423	458	0	118	228	257	370	387	67	56	102	73	37	10	0	20	0	3	0	16	0	9	0	0	0	0	0	2	0	0	0	1	57	30	0	0	0	1	0	0	0	0	5	1	0	4	0	5	0	3	12	0
26.09.2021	Wahl zum Deutschen Bundestag	9679126		Gemeinde Eisingen	3	3	986	1663	0	2649	2153	1619	30	2123	11	2142	801	670	444	491	0	138	243	239	322	330	81	71	109	73	16	7	0	20	0	5	0	7	0	11	0	2	0	0	0	4	0	0	0	0	75	47	0	4	0	2	0	3	0	0	7	0	0	5	0	6	0	7	25	0
26.09.2021	Wahl zum Deutschen Bundestag	9679128		Gemeinde Erlabrunn	4	4	569	860	0	1429	1262	830	8	1254	4	1258	548	464	244	282	0	49	93	91	241	240	33	30	43	44	17	7	0	9	0	1	0	8	0	7	0	0	0	4	0	2	0	0	0	0	28	12	0	1	0	0	0	1	0	0	2	0	0	0	0	6	0	0	5	0
26.09.2021	Wahl zum Deutschen Bundestag	9679130		Gemeinde Estenfeld	7	7	1487	2717	0	4204	3690	2651	45	3645	37	3653	1570	1348	679	782	0	197	388	374	546	564	97	78	184	118	50	21	0	35	0	2	0	17	0	20	0	3	0	4	0	7	0	0	0	0	88	39	0	0	0	2	0	7	0	3	10	4	0	10	0	6	0	12	33	0
26.09.2021	Wahl zum Deutschen Bundestag	9679131		Markt Frickenhausen a.Main	2	2	343	635	0	978	816	600	9	807	10	806	404	317	163	189	0	72	64	68	81	81	21	12	37	39	12	3	0	4	0	0	0	1	0	2	0	2	0	0	0	3	0	0	0	1	16	7	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	9	0
26.09.2021	Wahl zum Deutschen Bundestag	9679134		Gemeinde Gaukönigshofen	7	7	767	1209	0	1976	1746	1172	34	1712	3	1743	1051	819	158	217	0	129	136	175	146	185	49	30	112	112	11	4	0	17	0	7	0	12	0	4	0	3	0	3	0	0	0	0	0	0	27	13	0	2	0	0	0	1	0	1	4	0	0	2	0	5	0	2	18	0
26.09.2021	Wahl zum Deutschen Bundestag	9679135		Markt Gelchsheim	3	3	274	386	0	660	584	375	12	572	9	575	315	242	62	84	0	43	63	69	37	42	9	6	45	62	3	1	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	0	0	3	0	1	1	0	0	2	0	2	0	0	10	0
26.09.2021	Wahl zum Deutschen Bundestag	9679136		Gemeinde Gerbrunn	8	8	2194	2730	0	4924	4140	2630	41	4099	22	4118	1314	1100	814	877	0	223	416	409	969	932	180	191	183	120	55	24	0	60	0	4	0	43	0	18	0	0	0	3	0	5	0	3	0	0	100	50	0	5	0	2	0	2	0	0	26	14	0	9	0	8	0	16	42	0
26.09.2021	Wahl zum Deutschen Bundestag	9679137		Gemeinde Geroldshausen	3	3	339	699	0	1038	890	661	12	878	1	889	342	269	189	206	0	60	88	98	106	130	28	20	42	38	21	12	0	11	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	1	47	25	0	0	0	0	0	0	0	0	5	3	0	1	0	3	0	6	10	0
26.09.2021	Wahl zum Deutschen Bundestag	9679138		Markt Giebelstadt	8	8	1895	2091	0	3986	3198	2014	55	3143	15	3183	1467	1122	498	560	0	375	324	340	288	327	129	71	250	168	20	14	0	50	0	6	0	23	0	15	0	1	0	2	0	5	0	0	0	0	114	44	0	8	0	3	0	4	0	2	17	5	0	22	0	10	0	6	36	0
26.09.2021	Wahl zum Deutschen Bundestag	9679141		Gemeinde Greußenheim	2	2	431	900	0	1331	1158	875	11	1147	9	1149	533	427	165	203	0	92	82	110	142	116	27	24	110	85	19	8	0	24	0	6	0	4	0	6	0	1	0	5	0	2	0	0	0	0	50	23	0	2	0	0	0	1	0	0	4	0	0	4	0	3	0	3	15	0
26.09.2021	Wahl zum Deutschen Bundestag	9679142		Gemeinde Güntersleben	5	5	1452	2045	0	3497	2999	1966	47	2952	19	2980	1171	917	697	816	0	227	295	314	369	377	76	59	200	127	30	11	0	34	0	6	0	20	0	10	0	1	0	0	0	3	0	0	0	0	79	33	0	2	0	0	0	5	0	0	9	4	0	2	0	8	0	4	26	0
26.09.2021	Wahl zum Deutschen Bundestag	9679143		Gemeinde Hausen b. Würzburg	6	6	736	1234	0	1970	1715	1184	21	1694	11	1704	834	697	270	274	0	142	140	147	173	202	56	56	114	90	17	9	0	16	0	7	0	12	0	4	0	2	0	2	0	1	0	0	0	0	64	33	0	0	0	0	0	1	0	0	4	0	0	3	0	6	0	0	22	0
26.09.2021	Wahl zum Deutschen Bundestag	9679144		Markt Helmstadt	3	3	733	1397	0	2130	1876	1350	25	1851	13	1863	943	783	227	252	0	154	153	166	200	192	51	42	160	141	27	13	0	26	0	4	0	10	0	4	0	3	0	2	0	1	0	1	0	0	70	46	0	1	0	0	0	1	0	0	5	2	0	5	0	7	0	7	15	0
26.09.2021	Wahl zum Deutschen Bundestag	9679146		Gemeinde Hettstadt	4	4	978	1924	0	2902	2514	1872	18	2496	11	2503	1068	857	446	535	0	160	229	260	395	357	67	66	142	118	28	13	0	24	0	6	0	13	0	8	0	2	0	11	0	4	0	0	0	0	86	47	0	0	0	3	0	1	0	0	4	3	0	4	0	8	0	3	31	0
26.09.2021	Wahl zum Deutschen Bundestag	9679147		Markt Höchberg	12	12	2711	4719	0	7430	6372	4555	63	6309	26	6346	2265	1908	1193	1395	0	304	716	682	1396	1371	199	176	249	192	69	36	0	60	0	8	0	51	0	13	0	3	0	6	0	5	0	1	0	2	144	75	0	5	0	3	0	2	0	3	21	4	0	9	0	14	0	18	57	0
26.09.2021	Wahl zum Deutschen Bundestag	9679149		Gemeinde Holzkirchen	3	3	289	506	0	795	697	492	7	690	7	690	340	287	135	144	0	51	39	45	72	68	17	17	44	35	8	6	0	5	0	1	0	5	0	3	0	2	0	0	0	1	0	0	0	0	25	14	0	0	0	0	0	1	0	0	5	2	0	1	0	2	0	0	5	0
26.09.2021	Wahl zum Deutschen Bundestag	9679153		Gemeinde Kirchheim	3	3	566	1174	0	1740	1503	1145	14	1489	6	1497	684	552	324	358	0	111	118	114	178	186	47	40	80	57	17	9	0	17	0	7	0	13	0	6	0	2	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0	0	1	4	4	0	1	0	4	0	2	15	0
26.09.2021	Wahl zum Deutschen Bundestag	9679154		Gemeinde Kist	4	4	718	1391	0	2109	1723	1342	36	1687	20	1703	698	550	404	437	0	163	176	185	156	161	43	32	121	79	10	5	0	22	0	5	0	8	0	13	0	4	0	2	0	2	0	0	0	1	48	12	0	0	0	1	0	1	0	0	9	3	0	3	0	7	0	7	22	0
26.09.2021	Wahl zum Deutschen Bundestag	9679155		Gemeinde Kleinrinderfeld	4	4	521	1084	0	1605	1344	1050	20	1324	9	1335	522	401	358	384	0	111	111	124	136	129	48	43	75	63	14	7	0	24	0	1	0	14	0	3	0	2	0	4	0	2	0	0	0	0	35	11	0	0	0	2	0	0	0	0	3	1	0	3	0	4	0	2	22	0
26.09.2021	Wahl zum Deutschen Bundestag	9679156		Gemeinde Kürnach	6	6	1253	2477	0	3730	3332	2398	23	3309	13	3319	1478	1217	533	653	0	162	332	327	527	553	74	72	224	176	28	15	0	36	0	3	0	20	0	8	0	1	0	3	0	7	0	1	0	0	70	28	0	0	0	2	0	2	0	0	13	6	0	5	0	9	0	13	30	0
26.09.2021	Wahl zum Deutschen Bundestag	9679161		Gemeinde Margetshöchheim	6	6	1112	1448	0	2560	2261	1574	15	2246	6	2255	824	676	481	548	0	106	207	212	458	441	70	77	78	74	37	13	0	21	0	2	0	20	0	3	0	2	0	0	0	1	0	0	0	0	65	33	0	2	0	0	0	0	0	1	6	1	0	9	0	8	0	5	20	0
26.09.2021	Wahl zum Deutschen Bundestag	9679164		Markt Neubrunn	3	3	721	1045	0	1766	1468	1007	18	1450	6	1462	646	566	224	245	0	161	145	127	167	170	48	26	129	92	16	9	0	19	0	2	0	12	0	4	0	1	0	1	0	1	0	0	0	0	53	20	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	3	16	0
26.09.2021	Wahl zum Deutschen Bundestag	9679165		Gemeinde Altertheim	3	3	695	926	0	1621	1360	888	29	1331	5	1355	581	443	312	341	0	105	70	84	168	182	42	41	78	64	16	6	0	21	0	5	0	11	0	7	0	1	0	4	0	3	0	0	0	0	42	23	0	1	0	0	0	1	0	0	4	2	0	3	0	5	0	2	18	0
26.09.2021	Wahl zum Deutschen Bundestag	9679167		Markt Eisenheim	3	3	553	492	0	1045	917	631	12	905	3	914	380	332	166	173	0	56	96	104	127	128	26	29	71	58	1	0	0	5	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	26	11	0	0	0	1	0	0	0	0	4	2	0	0	0	1	0	2	8	0
26.09.2021	Wahl zum Deutschen Bundestag	9679169		Gemeinde Oberpleichfeld	3	3	322	557	0	879	763	542	11	752	4	759	373	314	109	111	0	84	63	78	81	61	11	19	71	55	14	6	0	8	0	2	0	7	0	0	0	0	0	0	0	3	0	0	0	0	22	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	8	0
26.09.2021	Wahl zum Deutschen Bundestag	9679170		Stadt Ochsenfurt	21	21	3866	4610	0	8476	6838	4424	95	6743	50	6788	3030	2355	1329	1565	0	570	567	623	769	838	327	205	366	263	89	48	0	88	0	12	0	30	0	27	0	4	0	6	0	7	0	0	0	0	181	70	0	8	0	1	0	3	0	0	16	8	0	19	0	24	0	14	69	0
26.09.2021	Wahl zum Deutschen Bundestag	9679174		Gemeinde Prosselsheim	3	3	321	592	0	913	811	573	7	804	4	807	383	319	101	132	0	61	93	89	78	68	26	15	71	51	14	11	0	17	0	2	0	9	0	2	0	1	0	2	0	2	0	0	0	1	24	14	0	0	0	3	0	0	0	0	2	0	0	1	0	5	0	2	12	0
26.09.2021	Wahl zum Deutschen Bundestag	9679175		Markt Randersacker	7	7	967	1831	0	2798	2368	1765	19	2349	10	2358	802	728	427	494	0	153	228	236	348	421	83	88	103	72	277	54	0	21	0	3	0	12	0	11	0	0	0	2	0	4	0	0	0	0	66	38	0	1	0	0	0	4	0	1	5	0	0	6	0	4	0	5	10	0
26.09.2021	Wahl zum Deutschen Bundestag	9679176		Markt Reichenberg	9	9	1332	1952	1	3285	2866	1877	27	2839	13	2853	1079	837	545	620	0	195	278	306	457	492	94	79	174	147	42	9	0	34	0	10	0	15	0	9	0	6	0	4	0	5	0	0	0	0	110	49	0	10	0	2	0	2	0	0	13	2	0	6	0	8	0	6	47	0
26.09.2021	Wahl zum Deutschen Bundestag	9679177		Markt Remlingen	2	2	549	672	0	1221	1025	653	20	1005	8	1017	385	316	195	200	0	94	98	89	143	142	43	41	85	63	9	6	0	12	0	4	0	13	0	3	0	1	0	2	0	0	0	0	0	0	38	22	0	0	0	0	0	0	0	1	2	1	0	2	0	1	0	4	7	0
26.09.2021	Wahl zum Deutschen Bundestag	9679179		Gemeinde Riedenheim	2	2	234	371	0	605	556	365	12	544	0	556	293	235	57	68	0	78	62	59	27	25	9	14	63	59	8	1	0	4	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0
26.09.2021	Wahl zum Deutschen Bundestag	9679180		Markt Rimpar	11	11	2218	3783	0	6001	5068	3654	70	4998	27	5041	2017	1679	1038	1154	0	369	563	525	682	692	137	125	296	191	43	20	0	63	0	10	0	37	0	25	0	5	0	2	0	9	0	0	0	3	144	70	0	5	0	2	0	7	0	2	25	8	0	8	0	16	0	14	53	0
26.09.2021	Wahl zum Deutschen Bundestag	9679182		Stadt Röttingen	2	2	470	826	0	1296	1099	798	14	1085	5	1094	618	477	118	154	0	99	78	94	102	113	29	24	76	68	12	5	0	12	0	1	0	8	0	5	0	0	0	3	0	4	0	0	0	0	36	16	0	0	0	1	0	0	0	0	1	1	0	3	0	4	0	2	15	0
26.09.2021	Wahl zum Deutschen Bundestag	9679185		Gemeinde Rottendorf	10	10	1668	2525	0	4193	3596	2424	32	3564	11	3585	1462	1172	708	818	0	217	400	391	509	540	106	86	203	163	37	17	0	37	0	9	0	33	0	14	0	10	0	9	0	2	0	0	0	0	85	42	0	1	0	3	0	0	0	0	15	1	0	9	0	6	0	5	39	0
26.09.2021	Wahl zum Deutschen Bundestag	9679187		Markt Sommerhausen	2	2	523	1030	0	1553	1388	988	9	1379	3	1385	620	523	237	282	0	52	146	154	233	242	40	28	47	38	19	11	0	10	0	0	0	7	0	5	0	0	0	2	0	0	0	0	0	0	30	19	0	0	0	0	0	3	0	0	1	1	0	1	0	1	0	6	6	0
26.09.2021	Wahl zum Deutschen Bundestag	9679188		Gemeinde Sonderhofen	3	3	236	440	0	676	617	432	11	606	4	613	395	306	48	79	0	56	39	48	43	43	15	16	39	45	3	0	0	6	0	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	7	0
26.09.2021	Wahl zum Deutschen Bundestag	9679192		Gemeinde Tauberrettersheim	2	2	353	329	0	682	589	318	12	577	5	584	328	263	84	83	0	61	40	50	60	52	18	15	30	30	3	5	0	3	0	1	0	1	0	4	0	4	0	0	0	1	0	0	0	0	11	5	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	3	2	0
26.09.2021	Wahl zum Deutschen Bundestag	9679193		Gemeinde Theilheim	4	4	622	1242	0	1864	1641	1210	18	1623	11	1630	712	607	296	313	0	151	172	176	208	206	33	37	100	56	29	9	0	22	0	1	0	15	0	4	0	0	0	0	0	3	0	0	0	0	38	13	0	1	0	0	0	2	0	0	8	1	0	5	0	8	0	0	27	0
26.09.2021	Wahl zum Deutschen Bundestag	9679194		Gemeinde Thüngersheim	4	4	695	1519	0	2214	1918	1465	22	1896	19	1899	724	592	443	467	0	91	150	164	291	303	44	38	140	120	23	15	0	25	0	5	0	16	0	5	0	3	0	2	0	3	0	2	0	0	47	32	0	0	0	2	0	1	0	0	10	3	0	1	0	4	0	5	24	0
26.09.2021	Wahl zum Deutschen Bundestag	9679196		Gemeinde Uettingen	2	2	597	828	0	1425	1208	797	21	1187	7	1201	473	379	234	268	0	104	109	111	166	136	28	32	103	77	11	8	0	22	0	2	0	13	0	6	0	0	0	0	0	6	0	0	0	0	37	22	0	0	0	1	0	1	0	0	8	4	0	4	0	2	0	3	18	0
26.09.2021	Wahl zum Deutschen Bundestag	9679200		Gemeinde Leinach	4	4	888	1621	0	2509	2145	1568	29	2116	10	2135	955	819	369	405	0	156	221	228	251	263	60	50	157	116	16	3	0	27	0	5	0	19	0	4	0	3	0	1	0	5	0	0	0	0	60	19	0	0	0	0	0	1	0	0	5	2	0	3	0	2	0	4	22	0
26.09.2021	Wahl zum Deutschen Bundestag	9679201		Gemeinde Unterpleichfeld	4	4	762	1567	0	2329	2003	1515	26	1977	11	1992	930	769	278	305	0	141	183	208	248	273	50	48	194	148	25	16	0	21	0	3	0	6	0	5	0	2	0	2	0	2	0	0	0	0	41	20	0	1	0	0	0	1	0	1	10	4	0	6	0	7	0	3	18	0
26.09.2021	Wahl zum Deutschen Bundestag	9679202		Gemeinde Veitshöchheim	12	12	3079	4338	0	7417	6107	4180	71	6036	35	6072	2273	1900	1189	1351	0	400	669	618	1066	1089	224	187	281	181	63	31	0	97	0	15	0	44	0	18	0	1	0	5	0	8	0	1	0	6	180	71	0	3	0	2	0	2	0	1	18	12	0	14	0	7	0	8	73	0
26.09.2021	Wahl zum Deutschen Bundestag	9679204		Gemeinde Waldbrunn	2	2	824	1412	0	2236	1934	1371	19	1915	7	1927	885	739	286	317	0	139	206	221	266	280	51	36	110	93	19	9	0	23	0	14	0	6	0	5	0	1	0	4	0	1	0	0	0	0	64	19	0	0	0	1	0	3	0	0	9	5	0	0	0	8	0	3	19	0
26.09.2021	Wahl zum Deutschen Bundestag	9679205		Gemeinde Waldbüttelbrunn	7	7	1479	2402	0	3881	3283	2300	38	3245	20	3263	1179	1007	637	791	0	239	316	311	719	539	91	95	156	122	24	15	0	42	0	4	0	25	0	9	0	2	0	11	0	4	0	0	0	1	90	23	0	0	0	1	0	1	0	2	1	0	0	3	0	5	0	11	32	0
26.09.2021	Wahl zum Deutschen Bundestag	9679206		Markt Winterhausen	2	2	485	656	0	1141	988	644	16	972	8	980	405	328	199	221	0	72	72	73	146	154	35	26	61	47	13	7	0	19	0	1	0	8	0	6	0	0	0	0	0	0	0	1	0	0	26	13	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	2	12	0
26.09.2021	Wahl zum Deutschen Bundestag	9679209		Markt Zell a.Main	8	8	1495	1791	0	3286	2680	1735	33	2647	18	2662	921	746	541	601	0	187	282	268	520	537	88	73	153	96	30	11	0	37	0	2	0	14	0	9	0	3	0	1	0	0	0	1	0	0	69	40	0	0	0	0	0	2	0	2	10	5	0	13	0	6	0	8	33	0
